ano,sigla_uf,id_municipio,quantidade_vinculos_ativos,quantidade_vinculos_clt,quantidade_vinculos_estatutarios,natureza_estabelecimento,natureza_juridica,tamanho_estabelecimento,tipo_estabelecimento,indicador_cei_vinculado,indicador_pat,indicador_simples,indicador_rais_negativa,indicador_atividade_ano,cnae_1,cnae_2,cnae_2_subclasse,subsetor_ibge,subatividade_ibge,cep,bairros_sp,distritos_sp,bairros_fortaleza,bairros_rj,regioes_administrativas_df,nome_municipio
2021,SP,3511508,0,0,0,,4120,1,1,0,0,0,1,1,01112,01113,0111302,25,,18520000,9999,9999,,,,Cerquilho
2021,SP,3511508,0,0,0,,4120,1,1,0,0,0,1,1,01112,01113,0111302,25,,18520000,9999,9999,,,,Cerquilho
2021,SP,3502804,0,0,0,,4120,1,1,0,0,0,1,1,01112,01113,0111302,25,,16010972,9999,9999,,,,Araçatuba
2021,SP,3511508,0,0,0,,4120,1,1,0,0,0,1,1,01112,01113,0111302,25,,18520000,9999,9999,,,,Cerquilho
2021,SP,3511508,0,0,0,,4120,1,1,0,0,0,1,1,01112,01113,0111302,25,,18520000,9999,9999,,,,Cerquilho
2021,SP,3502903,0,0,0,,2135,1,1,0,0,1,1,0,01112,01113,0111302,25,,18190000,9999,9999,,,,Araçoiaba da Serra
2021,SP,3511508,0,0,0,,4120,1,1,0,0,0,1,1,01112,01113,0111302,25,,18520000,9999,9999,,,,Cerquilho
2021,SP,3522307,0,0,0,,4120,1,1,0,0,0,1,1,01112,01113,0111302,25,,18215899,9999,9999,,,,Itapetininga
2021,SP,3507001,0,0,0,,4120,1,1,0,0,0,1,1,01112,01113,0111302,25,,18550000,9999,9999,,,,Boituva
2021,SP,3522307,0,0,0,,4120,1,1,0,0,0,1,0,01112,01113,0111302,25,,18211265,9999,9999,,,,Itapetininga
2021,SP,3522307,0,0,0,,4120,1,1,0,0,0,1,1,01112,01113,0111302,25,,18215899,9999,9999,,,,Itapetininga
2021,SP,3522307,0,0,0,,4120,1,1,0,0,0,1,1,01112,01113,0111302,25,,18230000,9999,9999,,,,Itapetininga
