nome_municipio,setor_cnae,nome_profissao,total_trabalhadores_clt,salario_medio
Americana,,Vendedor De Comércio Varejista,2912,2307.72
Americana,,Assistente Administrativo,2751,2161.01
Araçatuba,,Auxiliar De Escritório,2582,1780.55
Araçatuba,,Vendedor De Comércio Varejista,2499,2306.94
Itu,,Alimentador De Linha De Produção,2473,2158.46
Americana,,Auxiliar De Escritório,2433,1971.82
Itupeva,,Alimentador De Linha De Produção,2391,2027.91
Americana,,Alimentador De Linha De Produção,2316,2203.43
Itupeva,,Motorista De Caminhão (Rotas Regionais E Internacionais),1994,2577.24
Itapetininga,,Vendedor De Comércio Varejista,1984,1977.35
Boituva,,Abatedor,1959,1705.76
Itapetininga,,Alimentador De Linha De Produção,1821,1687.73
Itu,,Vendedor De Comércio Varejista,1821,2765.42
Americana,,Faxineiro,1738,1547.7
Itu,,Assistente Administrativo,1643,2399.81
Itu,,Auxiliar De Escritório,1642,1972.8
Americana,,Motorista De Caminhão (Rotas Regionais E Internacionais),1561,3014.37
Araçatuba,,Motorista De Caminhão (Rotas Regionais E Internacionais),1546,2784.55
Araçatuba,,Assistente Administrativo,1535,2101.96
Araçatuba,,Faxineiro,1519,1421.74
Itu,,Motorista De Caminhão (Rotas Regionais E Internacionais),1496,2803.87
Pindamonhangaba,,Vendedor De Comércio Varejista,1447,1763.08
Araçatuba,,Operador De Caixa,1438,1748.98
Araçatuba,,Alimentador De Linha De Produção,1368,1644.14
Itu,,Faxineiro,1338,1409.32
Itapetininga,,Auxiliar De Escritório,1319,1761.53
Itu,,Operador De Caixa,1295,1789.91
Ibiúna,,Alimentador De Linha De Produção,1292,2104.19
Pindamonhangaba,,Alimentador De Linha De Produção,1201,2134.55
Araçatuba,,Cobrador Interno,1182,1278.02
Americana,,Operador De Caixa,1172,1851.37
Itapeva,,Vendedor De Comércio Varejista,1160,1884.75
Cabreúva,,Alimentador De Linha De Produção,1159,1981.88
Itapetininga,,Motorista De Caminhão (Rotas Regionais E Internacionais),1080,2491.45
Itapeva,,Trabalhador Da Exploração De Resinas,1053,1416.79
Itapeva,,Motorista De Caminhão (Rotas Regionais E Internacionais),1044,2675.06
Itupeva,,Vendedor De Comércio Varejista,1039,2933.09
Boituva,,Alimentador De Linha De Produção,1038,1976.7
Porto Feliz,,Alimentador De Linha De Produção,985,2240.65
Itu,,Operador De Telemarketing Receptivo,976,1165.37
Pindamonhangaba,,Assistente Administrativo,965,2643.19
Itapetininga,,"Trabalhador De Extração Florestal, Em Geral",961,1278.56
Cabreúva,,"Embalador, A Mão",958,1869.93
Itu,,Operador De Telemarketing Ativo E Receptivo,957,976.07
Americana,,Cuidador Em Saúde,888,508.38
Araçariguama,,Alimentador De Linha De Produção,887,2191.15
Americana,,"Recepcionista, Em Geral",879,1683.94
Americana,,Atendente De Lojas E Mercados,873,1721.51
Americana,,Supervisor Administrativo,863,4381.86
Itapetininga,,Operador De Caixa,859,1679.86
Araçatuba,,Porteiro De Edifícios,850,2063.43
Pindamonhangaba,,Auxiliar De Escritório,846,1860.06
Ibiúna,,Vendedor De Comércio Varejista,830,1677.08
Pindamonhangaba,,Operador De Laminador,830,5262.87
Americana,,Borracheiro,816,4104.42
Boituva,,Motorista De Caminhão (Rotas Regionais E Internacionais),794,2920.73
