nome_municipio,setor_cnae,nome_profissao,total_trabalhadores_nao_clt,salario_medio
Itu,,Professor Da  Educação De Jovens E Adultos Do Ensino Fundamental (Primeira A Quarta Série),1283,4531.36
Araçatuba,,Professor Da  Educação De Jovens E Adultos Do Ensino Fundamental (Primeira A Quarta Série),910,4004.42
Americana,,Alimentador De Linha De Produção,867,1629.64
Itapetininga,,Auxiliar De Desenvolvimento Infantil,757,1268.3
Itapetininga,,Faxineiro,532,1428.03
Itupeva,,Dirigente Do Serviço Público Municipal,522,5734
Itapetininga,,Auxiliar De Escritório,512,1302.54
Itapeva,,Auxiliar De Escritório,502,1330.32
Itu,,Recreador,412,1235.26
Itu,,Assistente Administrativo,409,3230.74
Itu,,Faxineiro,373,1773.06
Araçatuba,,Auxiliar De Escritório,365,2413.64
Araçatuba,,Trabalhador Da Manutenção De Edificações,353,2112.86
Americana,,Auxiliar De Escritório,350,1051.33
Porto Feliz,,Babá,325,1897.43
Itapetininga,,Professor De Nível Superior Do Ensino Fundamental (Primeira A Quarta Série),316,5483.89
Itu,,Auxiliar De Escritório,315,1520.2
Ibiúna,,Trabalhador De Serviços De Limpeza E Conservação De Áreas Públicas,307,1734.45
Araçatuba,,Assistente Administrativo,284,2221.95
Itapeva,,Auxiliar De Desenvolvimento Infantil,280,3811.37
Ibiúna,,Professor Da  Educação De Jovens E Adultos Do Ensino Fundamental (Primeira A Quarta Série),271,3754.25
Americana,,Assistente Administrativo,257,3422.11
Araçariguama,,Faxineiro,256,1210.87
Itapeva,,Professor De Nível Médio No Ensino Fundamental,250,3694.86
Itu,,Guarda-Civil Municipal,246,4028.68
Cerquilho,,Professor De Nível Superior Do Ensino Fundamental (Primeira A Quarta Série),244,3311.32
Boituva,,Auxiliar De Desenvolvimento Infantil,223,1629.99
Itapeva,,Trabalhador Da Manutenção De Edificações,223,1579.46
Itupeva,,Trabalhador De Serviços De Limpeza E Conservação De Áreas Públicas,222,3000.17
Itupeva,,Auxiliar De Escritório,220,1732.38
Itapetininga,,Professor De Nível Superior Na Educação Infantil (Quatro A Seis Anos),219,3522.37
Boituva,,Professor Da  Educação De Jovens E Adultos Do Ensino Fundamental (Primeira A Quarta Série),218,4473.64
Itupeva,,Auxiliar De Desenvolvimento Infantil,209,3252.24
Itapeva,,Faxineiro,205,1281.11
Araçatuba,,Guarda-Civil Municipal,205,2985.62
Porto Feliz,,Trabalhador De Serviços De Limpeza E Conservação De Áreas Públicas,198,2093.84
Boituva,,Faxineiro,198,1923.61
Itapetininga,,Alimentador De Linha De Produção,194,1185.06
Cerquilho,,Auxiliar De Escritório,193,1633.68
Porto Feliz,,Professor De Nível Médio Na Educação Infantil,192,4677.05
Itupeva,,Alimentador De Linha De Produção,191,1477.43
Porto Feliz,,Auxiliar De Escritório,187,2323.15
Itapeva,,Cozinheiro Geral,185,1249.16
Americana,,Supervisor Administrativo,180,5368.09
Itu,,Alimentador De Linha De Produção,175,1580.49
Itupeva,,Professor Da  Educação De Jovens E Adultos Do Ensino Fundamental (Primeira A Quarta Série),174,5114.68
Americana,,Faxineiro,167,1559.52
Americana,,Técnico De Enfermagem,162,3304.42
Itu,,Técnico De Enfermagem,162,2714.49
Cerquilho,,Professor De Nível Superior Na Educação Infantil (Zero A Três Anos),161,3425.91
Piedade,,Trabalhador De Serviços De Limpeza E Conservação De Áreas Públicas,158,1319.52
Piedade,,Professor De Nível Médio No Ensino Fundamental,156,3357.63
Araçoiaba da Serra,,Trabalhador De Serviços De Limpeza E Conservação De Áreas Públicas,155,1586.8
Ibiúna,,Professor De Nível Superior Na Educação Infantil (Quatro A Seis Anos),148,3622.95
Itapeva,,Técnico De Enfermagem,145,2166.25
Araçatuba,,Motorista De Carro De Passeio,144,3111.13
Pindamonhangaba,,Auxiliar De Escritório,141,1154.18
Piedade,,Babá,139,1316.47
Porto Feliz,,Professor De Nível Superior Do Ensino Fundamental (Primeira A Quarta Série),137,4335.56
Araçariguama,,Professor De Nível Médio No Ensino Fundamental,137,3622.56
Boituva,,Auxiliar De Escritório,135,2260.37
Itapeva,,Professor Da  Educação De Jovens E Adultos Do Ensino Fundamental (Primeira A Quarta Série),133,3764.4
Itu,,Inspetor De Alunos De Escola Pública,131,1522.11
Ibiúna,,Auxiliar De Escritório,129,2143.74
Araçariguama,,Professor De Nível Médio Na Educação Infantil,127,3450.14
Americana,,Professor De Nível Médio Na Educação Infantil,123,3415.91
Americana,,Servente De Obras,121,2088.43
Araçatuba,,Inspetor De Alunos De Escola Pública,121,1526.57
Porto Feliz,,Professor Da  Educação De Jovens E Adultos Do Ensino Fundamental (Primeira A Quarta Série),119,4468.45
Araçoiaba da Serra,,Auxiliar De Desenvolvimento Infantil,119,1853.07
Americana,,Vendedor De Comércio Varejista,115,1470.25
Charqueada,,Professor De Nível Médio No Ensino Fundamental,114,3090.78
Araçatuba,,Dirigente Do Serviço Público Municipal,113,7301.58
