nome_municipio,nome_profissao,total_trabalhadores,salario_medio
Americana,Alimentador De Linha De Produção,3183,2047.14
Americana,Vendedor De Comércio Varejista,3027,2275.91
Americana,Assistente Administrativo,3008,2268.75
Araçatuba,Auxiliar De Escritório,2947,1858.96
Americana,Auxiliar De Escritório,2783,1856.06
Itu,Alimentador De Linha De Produção,2648,2120.27
Araçatuba,Vendedor De Comércio Varejista,2588,2267.63
Itupeva,Alimentador De Linha De Produção,2582,1987.19
Itupeva,Motorista De Caminhão (Rotas Regionais E Internacionais),2096,2537.85
Itu,Assistente Administrativo,2052,2565.43
Itapetininga,Vendedor De Comércio Varejista,2049,1970.55
Itapetininga,Alimentador De Linha De Produção,2015,1639.33
Boituva,Abatedor,2008,1696.96
Itu,Auxiliar De Escritório,1957,1899.95
Americana,Faxineiro,1905,1548.73
Itu,Vendedor De Comércio Varejista,1874,2732.92
Itapetininga,Auxiliar De Escritório,1831,1633.19
Araçatuba,Assistente Administrativo,1819,2120.69
Itu,Faxineiro,1711,1488.62
Americana,Motorista De Caminhão (Rotas Regionais E Internacionais),1618,3016
Araçatuba,Motorista De Caminhão (Rotas Regionais E Internacionais),1609,2777.63
Araçatuba,Faxineiro,1589,1462.84
Itu,Motorista De Caminhão (Rotas Regionais E Internacionais),1560,2772.92
Pindamonhangaba,Vendedor De Comércio Varejista,1532,1747.69
Araçatuba,Operador De Caixa,1487,1734.35
Araçatuba,Alimentador De Linha De Produção,1465,1604.3
Itu,Operador De Caixa,1329,1777.06
Ibiúna,Alimentador De Linha De Produção,1303,2096.05
Itu,Professor Da  Educação De Jovens E Adultos Do Ensino Fundamental (Primeira A Quarta Série),1293,4518.91
Pindamonhangaba,Alimentador De Linha De Produção,1275,2093.78
Cabreúva,Alimentador De Linha De Produção,1262,1960.3
Americana,Operador De Caixa,1244,1827.18
Araçatuba,Cobrador Interno,1244,1259.71
Itapeva,Auxiliar De Escritório,1219,1599.19
Itapeva,Vendedor De Comércio Varejista,1189,1921.6
Itapetininga,Faxineiro,1172,1378.43
Boituva,Alimentador De Linha De Produção,1126,1908.54
Itapeva,Motorista De Caminhão (Rotas Regionais E Internacionais),1121,2643.68
Itupeva,Vendedor De Comércio Varejista,1115,2885.09
Itapetininga,Motorista De Caminhão (Rotas Regionais E Internacionais),1090,2489.19
Itapeva,Trabalhador Da Exploração De Resinas,1053,1416.79
Americana,Supervisor Administrativo,1043,4552.06
Porto Feliz,Alimentador De Linha De Produção,1014,2218.81
Pindamonhangaba,Assistente Administrativo,1011,2577
Pindamonhangaba,Auxiliar De Escritório,987,1759.22
Itu,Operador De Telemarketing Receptivo,980,1168.52
Cabreúva,"Embalador, A Mão",977,1850.86
Itu,Operador De Telemarketing Ativo E Receptivo,969,969.35
Itapetininga,"Trabalhador De Extração Florestal, Em Geral",961,1278.56
Americana,Atendente De Lojas E Mercados,951,1678.34
Araçatuba,Professor Da  Educação De Jovens E Adultos Do Ensino Fundamental (Primeira A Quarta Série),950,3936.21
Itupeva,Auxiliar De Escritório,949,1712.96
Americana,Técnico De Enfermagem,936,2993.99
Araçariguama,Alimentador De Linha De Produção,935,2168.87
Americana,"Recepcionista, Em Geral",914,1688.3
Americana,Cuidador Em Saúde,889,509.06
Itapetininga,Operador De Caixa,886,1666.16
Araçatuba,"Recepcionista, Em Geral",885,1676.13
Araçatuba,Porteiro De Edifícios,865,2055.64
Boituva,Faxineiro,861,1415.86
Pindamonhangaba,Operador De Laminador,848,5188.21
Ibiúna,Vendedor De Comércio Varejista,843,1661.34
Boituva,Motorista De Caminhão (Rotas Regionais E Internacionais),833,2897.19
Itapetininga,Trabalhador Agropecuário Em Geral,831,1608.83
Itapetininga,Assistente Administrativo,827,2350.61
Araçatuba,Auxiliar De Enfermagem,826,2100.79
Americana,Cozinheiro Geral,825,1986.76
Americana,Borracheiro,816,4104.42
Americana,Almoxarife,814,2160.34
Americana,Servente De Obras,802,1867.21
Araçatuba,Técnico De Enfermagem,800,2431.49
Americana,Porteiro De Edifícios,792,1966.74
Araçatuba,Repositor De Mercadorias,786,1571.79
